SPEED,MAF,ENGINE_RPM,THROTTLE_POS,INTAKE_MANIFOLD_PRESSURE,ENGINE_LOAD,FUEL_RATE,FUEL_CONSUMPTION
62.0,3.32,1547.0,18.0,30.0,29.0,0.9915380786460926,1.599254965558214
99.0,11.78,2683.0,23.0,30.0,40.0,3.518168242906919,3.553705295865575
73.0,19.95,2209.0,25.0,30.0,71.8,5.958188153310105,8.161901579876856
16.0,3.82,1406.0,23.0,43.0,18.8,1.1408661025385765,7.130413140866103
104.0,18.31,2829.0,24.0,30.0,41.6,5.468392234942757,5.258069456675728
20.0,3.88,1156.0,24.0,85.0,24.3,1.1587854654056746,5.793927327028373
31.0,18.07,1697.0,35.0,59.0,70.6,5.396714783474367,17.40875736604634
33.0,3.8,908.0,22.0,41.0,25.9,1.1348929815828772,3.439069641160234
56.0,11.12,1864.0,29.4,48.0,41.6,3.3210552513688403,5.930455806015787
41.0,5.65,1647.0,22.0,21.0,54.1,1.6874066699850674,4.115626024353823
21.0,9.93,1483.0,27.5,31.0,49.4,2.9656545545047286,14.122164545260611
60.0,4.68,1953.0,25.0,25.0,15.7,1.3977103036336485,2.3295171727227477
34.0,5.55,2104.0,23.9,19.0,18.0,1.6575410652065703,4.875120780019325
50.0,24.26,2057.0,29.0,30.0,86.3,7.245395719263316,14.490791438526632
49.0,15.16,1558.0,39.0,98.0,65.9,4.5276256844201095,9.240052417183897
46.0,18.26,1998.0,32.5,51.0,60.0,5.453459432553509,11.85534659250763
31.0,20.97,2015.0,33.3,22.0,66.7,6.262817322050772,20.202636522744424
11.0,2.75,1281.0,13.0,30.0,18.0,0.821304131408661,7.466401194624191
40.0,12.15,1422.0,33.0,67.0,57.6,3.628670980587357,9.071677451468393
101.0,7.65,2625.0,21.0,30.0,29.8,2.2847187655550028,2.2620977876782207
31.0,29.29,2355.0,30.0,30.0,90.6,8.747635639621704,28.21817948265066
110.0,17.45,2884.0,24.0,30.0,48.2,5.211548033847686,4.737770939861533
78.0,17.7,1973.0,24.0,30.0,79.6,5.286212045793928,6.777194930505035
15.0,4.4,1125.0,25.0,52.0,27.5,1.3140866102538578,8.760577401692386
73.0,18.57,1881.0,26.0,30.0,79.2,5.546042807366849,7.597318914201162
40.0,5.46,1436.0,20.0,30.0,36.9,1.6306620209059233,4.076655052264808
43.0,13.71,1863.0,23.0,30.0,62.7,4.094574415131906,9.522266081702108
20.0,7.14,994.0,29.0,68.0,34.9,2.132404181184669,10.662020905923344
38.0,12.5,2032.0,30.2,20.0,41.2,3.733200597312096,9.824212098189726
38.0,10.46,1780.0,29.4,50.0,20.4,3.123942259830762,8.220900683765162
37.0,2.81,1263.0,18.0,30.0,28.2,0.8392234942757592,2.2681716061507005
58.0,16.17,1866.0,31.8,46.0,46.7,4.829268292682928,8.326324642556772
17.0,4.01,1631.0,24.0,38.0,16.9,1.1976107516177203,7.044769127163061
17.0,2.63,1034.0,18.0,23.0,21.6,0.7854654056744649,4.620384739261558
9.0,2.61,814.0,13.0,30.0,21.6,0.7794922847187656,8.661025385764063
44.0,23.14,2276.0,27.0,30.0,78.8,6.910900945744151,15.706593058509435
46.0,25.6,1992.0,35.3,46.0,86.3,7.645594823295172,16.620858311511245
68.0,40.39,3295.0,38.0,62.0,80.4,12.062717770034844,17.739290838286536
68.0,24.8,2173.0,34.9,21.0,77.3,7.406669985067198,10.89216174274588
52.0,6.36,2402.0,24.7,39.0,29.0,1.8994524639123944,3.652793199831528
40.0,7.13,1336.0,23.5,35.0,37.6,2.1294176207068194,5.3235440517670485
16.0,5.54,1098.0,20.0,30.0,45.1,1.654554504728721,10.340965654554504
19.0,4.07,786.0,20.0,29.0,36.9,1.2155301144848183,6.39752691834115
69.0,8.82,1814.0,21.0,30.0,45.1,2.6341463414634148,3.817603393425239
45.0,16.6,1851.0,32.2,64.0,59.2,4.957690393230464,11.017089762734363
4.0,5.54,716.0,24.7,39.0,97.3,1.654554504728721,41.36386261821802
27.0,2.54,1588.0,18.0,30.0,47.8,0.7585863613738179,2.809579116199325
48.0,4.53,1719.0,22.0,44.0,17.6,1.3529118964659037,2.818566450970633
24.0,4.5,1798.0,22.4,33.0,17.3,1.3439522150323544,5.599800895968143
7.0,4.27,1124.0,24.0,42.0,25.5,1.2752613240418116,18.21801891488302
55.0,9.64,1905.0,31.0,78.0,34.5,2.8790443006470885,5.234626001176525
26.0,16.15,1654.0,32.2,22.0,63.5,4.823295171727227,18.55113527587395
62.0,25.52,1961.0,35.7,73.0,87.5,7.621702339472375,12.293068289471572
96.0,22.85,2461.0,27.0,30.0,67.1,6.824290691886511,7.108636137381782
53.0,25.17,2210.0,29.0,30.0,83.5,7.5171727227476355,14.183344759901198
95.0,26.39,2442.0,28.0,30.0,78.0,7.881533101045297,8.29635063267926
54.0,2.4,1170.0,19.0,30.0,26.7,0.7167745146839224,1.327360212377634
13.0,4.55,827.0,21.2,35.0,43.1,1.358885017421603,10.452961672473869
32.0,14.74,980.0,33.7,87.0,99.6,4.402190144350423,13.756844201095072
1.0,2.72,733.0,13.0,30.0,31.0,0.8123444499751121,81.23444499751122
59.0,16.77,1909.0,32.2,50.0,58.8,5.008461921353907,8.488918510769334
1.0,4.42,773.0,20.8,31.0,38.0,1.3200597312095572,132.00597312095573
44.0,14.65,1725.0,24.0,30.0,61.6,4.375311100049776,9.943888863749493
58.0,29.98,1746.0,39.6,19.0,100.0,8.953708312593331,15.437428125160915
99.0,28.7,2600.0,29.0,30.0,78.8,8.571428571428573,8.65800865800866
67.0,4.11,2100.0,14.0,30.0,16.1,1.2274763563962172,1.832054263277936
54.0,13.51,1292.0,31.8,64.0,75.3,4.034843205574913,7.471931862175765
29.0,15.84,1682.0,31.8,70.0,65.9,4.730711796913888,16.312799299703062
25.0,14.2,1751.0,24.0,30.0,72.2,4.240915878546541,16.963663514186162
131.0,35.59,3204.0,31.0,30.0,80.8,10.629168740667,8.113869267684732
79.0,25.42,2011.0,33.0,30.0,93.7,7.591836734693878,9.609919917334024
95.0,5.16,2789.0,15.0,30.0,13.7,1.541065206570433,1.6221739016530876
46.0,4.72,1843.0,22.4,22.0,17.3,1.4096565455450474,3.064470751184885
52.0,23.58,2295.0,34.5,49.0,69.0,7.042309606769537,13.54290308994142
54.0,17.86,1715.0,25.0,30.0,82.4,5.3339970134395225,9.877772247110226
27.0,4.17,791.0,20.4,34.0,39.2,1.2453957192633152,4.612576738012279
54.0,15.16,1476.0,31.8,50.0,70.6,4.5276256844201095,8.384492008185388
44.0,2.92,1260.0,21.0,25.0,16.5,0.8720756595321056,1.9819901353002405
53.0,14.92,1721.0,31.4,34.0,59.2,4.455948232951718,8.407449496135316
58.0,13.2,1571.0,30.6,49.0,56.1,3.942259830761573,6.796999708209609
93.0,15.18,2404.0,23.0,30.0,51.8,4.533598805375809,4.874837425135279
49.0,28.17,1636.0,59.6,98.0,100.0,8.41314086610254,17.169675236943956
52.0,21.15,2065.0,26.0,30.0,77.6,6.3165754106520655,12.147260405100123
3.0,2.39,666.0,18.0,30.0,34.1,0.7137879542060728,23.79293180686909
15.0,5.56,1472.0,20.0,30.0,29.8,1.66052762568442,11.070184171229467
82.0,23.21,2075.0,28.0,30.0,83.9,6.931806869089099,8.453423011084267
62.0,20.75,2010.0,33.3,43.0,67.8,6.197112991538079,9.995343534738838
28.0,13.25,1374.0,51.0,91.0,66.3,3.9571926331508216,14.132830832681506
65.0,20.64,2150.0,33.3,39.0,65.5,6.164260826281732,9.48347819427959
50.0,18.8,2177.0,32.9,30.0,58.4,5.614733698357392,11.229467396714783
86.0,30.84,2328.0,33.0,30.0,93.7,9.210552513688404,10.709944783358608
42.0,7.17,2497.0,25.5,82.0,24.7,2.141363862618218,5.098485387186233
46.0,14.55,1511.0,31.4,31.0,65.5,4.34544549527128,9.446620641894086
78.0,13.6,1944.0,23.0,30.0,59.6,4.061722249875561,5.20733621778918
44.0,23.71,2267.0,27.0,30.0,80.4,7.081134892981583,16.093488393139964
48.0,21.9,1882.0,34.1,71.0,76.9,6.540567446490791,13.626182180189147
41.0,22.57,1802.0,34.5,67.0,84.7,6.74066699850672,16.44065121587005
115.0,34.37,3050.0,31.0,30.0,81.2,10.264808362369338,8.925920315103772
44.0,21.66,1363.0,36.1,84.0,100.0,6.4688899950224,14.702022715959998
61.0,9.53,1775.0,21.0,30.0,48.6,2.8461921353907416,4.665888746542199
66.0,35.63,2181.0,39.2,40.0,100.0,10.641114982578395,16.122901488755147
41.0,23.46,1924.0,36.1,76.0,21.2,7.006470881035342,17.08895336837888
23.0,11.74,1254.0,30.2,62.0,64.7,3.5062220009955203,15.244443482589215
100.0,34.18,2647.0,33.0,30.0,91.4,10.208063713290196,10.208063713290196
35.0,4.06,1263.0,20.0,25.0,51.8,1.212543554006969,3.464410154305625
38.0,4.13,1538.0,22.0,20.0,16.5,1.2334494773519165,3.245919677241885
44.0,10.46,1735.0,31.0,25.0,41.6,3.123942259830762,7.09986877234264
85.0,25.45,2040.0,33.0,30.0,93.3,7.600796416127427,8.94211343073815
119.0,27.01,3093.0,28.0,30.0,65.9,8.066699850671977,6.778739370312587
51.0,5.11,1907.0,23.1,18.0,18.4,1.5261324041811848,2.992416478786637
77.0,14.69,2273.0,20.0,30.0,48.2,4.387257341961175,5.697736807741785
29.0,14.38,1515.0,31.0,20.0,65.9,4.294673967147835,14.809220576371846
88.0,17.67,2283.0,25.0,30.0,60.4,5.27725236436038,5.996877686773159
23.0,3.02,1733.0,13.0,30.0,37.3,0.9019412643106024,3.921483757872184
44.0,3.85,1470.0,0.0,21.0,18.0,1.1498257839721255,2.613240418118467
78.0,27.98,2356.0,29.0,30.0,84.3,8.356396217023395,10.713328483363329
85.0,26.0,2106.0,34.0,30.0,77.3,7.765057242409159,9.135361461657835
95.0,17.17,2437.0,24.0,30.0,54.5,5.127924340467895,5.397815095229363
27.0,16.1,1766.0,32.2,21.0,62.4,4.80836236933798,17.80874951606659
90.0,24.37,2368.0,27.0,30.0,76.9,7.278247884519661,8.086942093910734
52.0,16.04,1564.0,32.2,61.0,67.5,4.790443006470881,9.212390397059387
36.0,18.41,1776.0,26.0,30.0,82.0,5.498257839721254,15.272938443670151
94.0,23.0,2513.0,26.0,30.0,67.1,6.869089099054255,7.307541594738569
60.0,2.73,1613.0,18.0,30.0,33.7,0.8153310104529616,1.3588850174216027
36.0,3.77,1577.0,21.6,21.0,17.3,1.125933300149328,3.1275925004148006
88.0,24.73,2260.0,28.0,30.0,78.4,7.3857640617222495,8.392913706502556
51.0,15.87,1622.0,31.8,31.0,66.3,4.739671478347437,9.293473486955758
12.0,4.45,1115.0,25.0,78.0,27.5,1.329019412643106,11.075161772025885
17.0,11.06,1352.0,25.9,58.0,60.8,3.3031358885017426,19.43021110883378
90.0,9.14,2439.0,21.0,30.0,37.6,2.7297162767546044,3.033018085282894
61.0,28.53,2364.0,31.0,30.0,87.8,8.520657043305127,13.968290234926435
14.0,8.35,795.0,28.2,26.0,74.1,2.49377799900448,17.81269999288914
87.0,2.23,1985.0,18.0,30.0,20.8,0.6660029865604778,0.7655206742074457
74.0,12.22,2106.0,19.0,30.0,46.7,3.649576903932305,4.931860680989601
